,codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,ocorrencia_tipo,aeronave_operador_categoria,aeronave_tipo_veiculo
1316,46901,ACIDENTE,AM,SBEG,2012-03-26,20:30:00,COM TREM DE POUSO,***,AVIÃO
1317,52057,INCIDENTE,AL,SBMO,2012-03-26,13:19:00,COM TREM DE POUSO,PARTICULAR,AVIÃO
1318,45792,INCIDENTE,SP,SBSP,2012-03-27,16:00:00,COLISÃO COM AVE,REGULAR,AVIÃO
1319,45793,INCIDENTE,GO,****,2012-03-27,19:55:00,ESTOURO DE PNEU,INSTRUÇÃO,AVIÃO
1320,45780,INCIDENTE,SP,****,2012-03-28,19:30:00,COM PARA-BRISAS / JANELA / PORTA,***,AVIÃO
1321,45790,INCIDENTE,PR,SBBI,2012-03-28,21:40:00,ESTOURO DE PNEU,INSTRUÇÃO,AVIÃO
1322,45791,INCIDENTE,RJ,SBME,2012-03-28,13:45:00,FALHA DO MOTOR EM VOO,REGULAR,AVIÃO
1323,45773,INCIDENTE,RS,****,2012-03-29,20:33:00,ESTOURO DE PNEU,REGULAR,AVIÃO
1324,45785,INCIDENTE,AM,****,2012-03-29,15:20:00,COM TRANSPORTE DE CARGA,***,HELICÓPTERO
1325,45754,INCIDENTE GRAVE,GO,SBNV,2012-03-30,14:30:00,EXCURSÃO DE PISTA,***,AVIÃO
1326,45754,INCIDENTE GRAVE,GO,SBNV,2012-03-30,14:30:00,PERDA DE CONTROLE NO SOLO,***,AVIÃO
1327,45774,INCIDENTE,MG,SBBH,2012-03-30,13:31:00,COM TREM DE POUSO,PARTICULAR,AVIÃO
1328,45731,ACIDENTE,TO,****,2012-03-31,19:21:00,FALHA DO MOTOR EM VOO,***,AVIÃO
1329,46069,INCIDENTE,SP,****,2012-01-04,13:30:00,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,REGULAR,AVIÃO
1330,45753,INCIDENTE GRAVE,MG,SNOF,2012-02-04,16:30:00,EXCURSÃO DE PISTA,***,AVIÃO
1331,45753,INCIDENTE GRAVE,MG,SNOF,2012-02-04,16:30:00,POUSO BRUSCO,***,AVIÃO
1332,45775,INCIDENTE,SP,****,2012-02-04,18:32:00,ESTOURO DE PNEU,INSTRUÇÃO,AVIÃO
1333,45732,ACIDENTE,MT,****,2012-03-04,17:30:00,PERDA DE CONTROLE EM VOO,AGRÍCOLA,AVIÃO
1334,45756,INCIDENTE GRAVE,PA,****,2012-03-04,14:25:00,OUTROS,***,AVIÃO
1335,45755,INCIDENTE GRAVE,PE,SNRU,2012-04-04,10:45:00,PERDA DE CONTROLE NO SOLO,***,AVIÃO
1336,52058,INCIDENTE,SP,SBBU,2012-04-04,20:20:00,PERDA DE CONTROLE NO SOLO,INSTRUÇÃO,AVIÃO
1337,45733,ACIDENTE,MG,****,2012-05-04,17:00:00,COM TREM DE POUSO,EXPERIMENTAL,ULTRALEVE
1338,45734,ACIDENTE,MG,****,2012-06-04,13:37:00,FALHA DO MOTOR EM VOO,***,AVIÃO
1339,45752,INCIDENTE GRAVE,SP,SBBP,2012-11-04,12:00:00,EXCURSÃO DE PISTA,***,AVIÃO
1340,45752,INCIDENTE GRAVE,SP,SBBP,2012-11-04,12:00:00,PERDA DE CONTROLE NO SOLO,***,AVIÃO
1341,45776,INCIDENTE,MG,****,2012-11-04,09:15:00,FALHA DO MOTOR EM VOO,REGULAR,AVIÃO
1342,47082,INCIDENTE GRAVE,MT,****,2012-11-04,11:30:00,INDETERMINADO,***,AVIÃO
1343,45779,INCIDENTE,DF,****,2012-12-04,19:00:00,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,ADMINISTRAÇÃO DIRETA,HELICÓPTERO
1344,45803,INCIDENTE,MG,SBBH,2012-12-04,10:30:00,OUTROS,TÁXI AÉREO,AVIÃO
1345,45746,ACIDENTE,SP,****,2012-04-13,20:25:00,PERDA DE CONTROLE EM VOO,EXPERIMENTAL,ULTRALEVE
1346,45747,ACIDENTE,MS,SSKG,2012-04-13,20:30:00,POUSO SEM TREM,***,AVIÃO
1347,45750,ACIDENTE,SP,****,2012-04-13,15:45:00,PERDA DE CONTROLE EM VOO,EXPERIMENTAL,AVIÃO
1348,45751,ACIDENTE,SP,****,2012-04-14,15:30:00,PERDA DE CONTROLE NO SOLO,***,AVIÃO
